,ID,Medal
1728,1294,Na
1729,1294,Na
1730,1297,Na
1731,1298,Na
1732,1299,Na
1733,1300,Na
1734,1301,Silver
1735,1302,Na
1736,1304,Na
1737,1304,Na
1738,1305,Na
1739,1306,Na
1740,1307,Na
1741,1307,Na
1742,1307,Na
1743,1308,Na
1744,1309,Na
1745,1309,Na
1746,1310,Na
1747,1310,Na
1748,1311,Na
1749,1311,Na
1750,1311,Na
1751,1312,Na
1752,1313,Na
1753,1313,Na
1754,1313,Silver
1755,1314,Na
1756,1315,Na
1757,1316,Na
1758,1316,Na
1759,1317,Na
1760,1317,Na
1761,1318,Na
1762,1319,Na
1763,1320,Na
1764,1321,Na
1765,1322,Silver
1766,1323,Na
1767,1323,Na
1768,1323,Na
1769,1323,Gold
1770,1325,Na
1771,1326,Na
1772,1326,Na
1773,1326,Na
1774,1326,Na
1775,1326,Na
1776,1326,Na
1777,1326,Na
1778,1327,Na
1779,1329,Na
1780,1329,Na
